sourceTaxonId	sourceTaxonName	sourceTaxonPartaffected	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	StudySourceCitation	referenceCitation
EOL:1089032	Vallisneria americana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:2684797	Paraponyx obscuralis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Hart, C. A. 1895. On the entomology of the Illionise River and adjacent waters. Bull. Ill. St. Lab. Nat. Hist. 4:149-273.
EOL:1089032	Vallisneria americana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:2684797	Paraponyx obscuralis	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Herlong, D. D. 1979. Aquatic Pyralidae (Lepidoptera: Nymphulinae) in South Carolina. Fla. Entomol. 62(3):188-193.
EOL:1089032	Vallisneria americana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:2684797	Paraponyx obscuralis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Herlong, D. D. 1979. Aquatic Pyralidae (Lepidoptera: Nymphulinae) in South Carolina. Fla. Entomol. 62(3):188-193.
EOL:1089032	Vallisneria americana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:608710	Triaenodes marginata	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:1089032	Vallisneria americana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:586039	Triaenodes aba	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:1089032	Vallisneria americana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:607677	Leptocerus americanus	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:1089032	Vallisneria americana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:2684800	Paraponyx allionealis	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:1089032	Vallisneria americana	petioles	RO:0002471	eaten by	EOL:607677	Leptocerus americanus	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:1089032	Vallisneria americana	petioles	RO:0002471	eaten by	EOL:586039	Triaenodes aba	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
EOL:1089032	Vallisneria americana	petioles	RO:0002471	eaten by	EOL:608710	Triaenodes marginata	GEONAMES:5001836	Michigan, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	McGaha, Y. J. 1952. The limnological relations of insects to certain aquatic flowering plants. Trans. Am. Microsc. Soc. 71:355-381.
